1,UNIQA Raiffeisen Software Service ,info@urss.hu,HU
2,Talent Acquisition Consultant,zsofia.vizeli@cgi.com,HU
3,Griffsoft,info@griffsoft.hu,HU
4,Tech People,info@tech-people.com,HU
5,Qualysoft,matyas.egyed@qualysoft.com,HU
6,Bluebird Europe,info@bluebird-europe.com,EN
7,Deutsche Telekom TSI Hungary,FMB-TS-ITSH-Info@t-systems.com,HU
8,Dynata,Zoltan.Beke@Dynata.com,HU
9,Vital Hr,office@vital-hr.ro,RO
10,Proofit,info@proofit.hu,HU
11,Raab Digital,info@raabdigital.hu,HU
12,Ikron,karrier@ikron.hu,HU
13,Bredex,recruitment@bredex.hu,HU
14,Adverticum,jobs@adverticum.com,HU
15,Codelit40,hello@codelit40.com,HU
16,ORGWARE,kereskedelem@orgware.hu,HU
17,AVL,bud.hr@avl.com,EN
18,Sysdata,jobs@sysdata-pse.com,HU
19,Thyssenkrupp,info.hun@thyssenkrupp.com,HU
20,ArtSoft,office@artsoft-consult.ro,RO
21,Shiwaforce,hr@shiwaforce.com,HU
22,TCS,a.tornyai@tcs.com,HU
23,Nova HR,recruitment@novahr.hu,HU
24,Szintezis Net,hr@szintezis-net.hu,HU
25,Pillér kft,info@pillerkft.hu,HU
26,RandStad,info@randstad.hu,HU
27,Netex,jobs@netex.ro,RO
28,Nagarro,info.ro@nagarro.com,RO
29,Grep.py,contact@greppysystems.com,RO
30,Alvicom,info@alvicom.hu,HU
31,Nextent,info@nextent.hu,HU
32,ICTEUROPA,info@icteuropa.hu,HU
33,Datatronic,info@datatronic.hu,HU
34,ICF Tech,recruitment@icftech.hu,HU
35,Wonderline,hr@wonderline.eu,HU
36,Barre,info@barre.hu,HU
37,Stratis,info@stratis.hu,HU
38,Entersoft,info@entersoft.hu,HU
39,Grafton,grafton.romania@gigroup.com,RO
40,Harghita hazavar,office@investinhargita.ro,HU
41,Soft Serve,info@softserveinc.com,EN
42,Rebeldot,careers@rebeldot.com,RO
43,Fortech,jobs@fortech.ro,RO
44,NTT Data,ro.nttdata@nttdata.com,RO
45,USource,careers@usource.ro,RO
46,Avangarde,contact@avangarde-software.com,RO
47,Ams,radu@ams-ai.com,RO
48,Endava,alina.simon@endava.com,RO
49,The Acces Group,yourcareer@theaccessgroup.com,EN
50,Sayes-Team,contact@sayes-team.com,RO
51,Red-To-Blue,info@red-to-blue.com,RO
52,Optimize,contact20101@optimaize.com,RO
53,FME,info@fme.ro,RO
54,QuickLeaf,hello@quickleaf.net,RO
55,Vallerry,hello@vallerry.com,RO
56,Core Recruit,office@core-recruit.ro,RO
57,Bbox,bbox@bbox.hu,HU
58,Sbp systems,sbp@sbpsystems.hu,HU
59,Otp mobil,hr@otpmobil.com,HU
60,Everit,info@everit.biz,HU
61,Prohuman,debrecen@prohuman.hu,HU
62,AIMotive,info@aimotive.com,HU
63,Telekont,telekont@telekont.hu,HU
64,IDBC,info@idbc.hu,HU
65,BECK AND PARTNERS,info@bap.hu,HU
66,ULYSSYS,allas@ulyssys.hu,HU
67,Nixtech,jobs@nixstech.com,HU
68,Stylers,stylers@stylers.hu,HU
69,DevPlant,timo@devplant.ro,RO
70,Ferendin,bm@ferendin.com,RO
71,TICKBIRD,hr@tickbird.com,RO
72,Berg Software,contact@berg-software.com,RO
73,CodeSpring,office@codespring.ro,RO
74,Streamaxia,contact@streamaxia.com,RO
75,Tora Trading Services,careers.romania@tora.com,RO
76,Bosch Romania,contact@ro.bosch.com,RO
77,Uniqa Romania,office.ussro@uniqa.at,RO
78,Ness Company,rotsr-marketing@ness.com,RO
79,IBM,info@ro.ibm.com,RO
80,Arrk Engeering,career_romania@arrk-engineering.com,HU
81,INFOBEST,recruiting@infobest.ro,RO
82,Edenred,edenred.romania@edenred.com,RO
83,Saguaro Techology,info@saguarotech.net,RO
84,RIA Solutions Group,contact@riasolutionsgroup.com,RO
85,Accenture Romania,romania.careers@accenture.com,RO
86,Atos Romania,hr.ro@atos.net,RO
87,Qubiz,apply@qubiz.com,RO
88,Evozon,hello@evozon.com,RO
89,ZF Romania,office.timisoara@zf.com,RO
90,Hella ,info@hella.com,RO
91,The Coders,hello@thecoders.ro,RO
92,Siemens,siemens.ro@siemens.com,RO
93,Incrys,office@incrys.com,RO
94,Axon soft,office@axonsoft.ro,RO
95,Alten Romania,OFFICE@ALTENROMANIA.RO,RO
96,Oradea Tech Club,info@oradeatechhub.ro,RO
97,Bright Entity,cristina.manaila@brightantity.com,RO
98,SCORPION SOFTWARE,office@scorpionsoftware.ro,RO
99,Seiteq,office@seiteq.com,EN
100,Var24,customers@var24.com,RO
101,Dora,brasoveanu.dora@gmail.com,RO
102,Ausy,hr-romania@ausy.com,RO
